year,epsilon,wealth_measure,treatment,n_obs,total_weight,shift_constant,pi_white,pi_black,median_white_raw,median_black_raw,gap_diff_raw,gap_ratio_raw,mu_raw,mu,eu_white,eu_black,W_O,W_A_pi,W_A_delta,wede_O,wede_A,I_O,I_A
1989,0.5,net_wealth,positive_only,13391,73220354.82828118,0.0,0.8882251937929585,0.1117748062070416,189472.96101,53282.065332,136190.895678,3.5560363478666965,523295.06191070616,523295.06191070616,1081.4208952637975,544.807868778322,1021.4410782202095,1021.4410782202095,544.807868778322,260835.46906891605,74203.90347069433,0.5015518240960883,0.8581987317064416
1989,0.5,net_wealth,shifted_full_sample,14328,81436973.20308776,48999465.57,0.8545397317972052,0.1454602682027947,166417.11275,9914.0147524,156503.0979976,16.78604651155209,469662.7896820093,49469128.35968201,14073.056556055244,14013.452255341452,14064.386498487374,14064.386498487374,14013.452255341452,49451741.894708484,49094211.0281836,0.000351460912088597,0.00757881418027917
1989,0.5,gross_assets,positive_only,13926,77579563.93123773,0.0,0.8828121469345489,0.11718785306545103,229244.29926,61858.840885,167385.458375,3.7059262019826966,556707.3300813065,556707.3300813065,1151.9889684269342,588.5135271748404,1085.9564912114936,1085.9564912114936,588.5135271748404,294825.37520109466,86587.04291694291,0.4704122628347004,0.8444657753935143
1989,0.5,gross_assets,shifted_full_sample,14328,81436973.20308776,11948717.42,0.8545397317972052,0.1454602682027947,224794.52055,16369.652266,208424.868284,13.732394365939061,530280.4889779673,12478997.908977969,7070.846773484142,6947.4890900025475,7052.903131760033,7052.903131760033,6947.4890900025475,12435860.64649762,12066901.163926106,0.003456788982175718,0.03302322414489556
1992,0.5,net_wealth,positive_only,16348,76733004.20507291,0.0,0.8764902611915855,0.1235097388084144,165757.57576,47448.106061,118309.46969900001,3.493449781681477,451960.3887813502,451960.3887813502,1010.9970748655321,535.0664491042781,952.2150075868343,952.2150075868343,535.0664491042781,226678.35516839873,71574.02623926527,0.4984552611355917,0.8416365061720235
1992,0.5,net_wealth,shifted_full_sample,17528,84365416.11453772,674012.7424,0.8559801056070001,0.14401989439299998,144416.28788,20512.5,123903.78787999999,7.040404040463132,409902.78086444945,1083915.5232644493,2004.0280636478483,1744.816826921663,1966.6964887090644,1966.6964887090644,1744.816826921663,966973.7696751407,761096.4398772452,0.10788825427752236,0.2978267922715634
1992,0.5,gross_assets,positive_only,17148,81757701.74594222,0.0,0.8731151638718025,0.12688483612819743,217660.41667,62987.878788,154672.537882,3.455592105309428,491818.88052728976,491818.88052728976,1092.2777282659954,583.7801217745628,1027.7570927947493,1027.7570927947493,583.7801217745628,264071.1604474787,85199.80764478083,0.46307234044296497,0.8267658867560427
1992,0.5,gross_assets,shifted_full_sample,17528,84365416.11453772,7252.893939,0.8559801056070001,0.14401989439299998,214863.25758,36466.666667,178396.590913,5.892045454607934,476616.7725017268,483869.66644072684,1106.0770614795515,562.5359272144055,1027.7963247244338,1027.7963247244338,562.5359272144055,264091.3212792635,79111.66735174274,0.45420980153213597,0.8365021144357397
1995,0.5,net_wealth,positive_only,18382,81419989.30877924,0.0,0.878962258421659,0.12103774157834113,169291.7824,49546.926139,119744.856261,3.41679687504862,475462.80017248646,475462.80017248646,1023.6715064816889,503.9502997178315,960.7656253646217,960.7656253646217,503.9502997178315,230767.64672056813,63491.476146423054,0.5146462633105026,0.8664638408653844
1995,0.5,net_wealth,shifted_full_sample,19708,89489095.7545425,27961460.39,0.8584384760975744,0.14156152390242557,148640.77842,21134.860681,127505.917739,7.032967033164613,431422.4557773934,28392882.84577739,10661.780826756947,10591.646951117234,10651.852568444207,10651.852568444207,10591.646951117234,28365490.78496786,28045746.284277752,0.0009647509539033594,0.01222618229311867
1995,0.5,gross_assets,positive_only,19288,86727698.31465156,0.0,0.8734487387859923,0.12655126121400764,230509.33215,58120.866873,172388.465277,3.966033965971057,518416.64337825694,518416.64337825694,1116.949491901424,568.5244105553569,1047.5456061756843,1047.5456061756843,568.5244105553569,274337.94925449544,80805.001349329,0.4708156986111115,0.8441311590176503
1995,0.5,gross_assets,shifted_full_sample,19708,89489095.7545425,27792091.19,0.8584384760975744,0.14156152390242557,225864.30783,37024.714728,188839.593102,6.100365917449993,502367.78625104344,28294458.97625104,10644.134628091448,10566.308467959521,10633.117438263698,10633.117438263698,10566.308467959521,28265796.61397689,27911718.660018273,0.001013002662401452,0.013527041338872059
