year,epsilon,wealth_measure,treatment,n_obs,total_weight,shift_constant,pi_white,pi_black,median_white_raw,median_black_raw,gap_diff_raw,gap_ratio_raw,mu_raw,mu,eu_white,eu_black,W_O,W_A_pi,W_A_delta,wede_O,wede_A,I_O,I_A
1989,2.0,net_wealth,positive_only,13391,73220354.82828118,0.0,0.8882251937929585,0.1117748062070416,189472.96101,53282.065332,136190.895678,3.5560363478666965,523295.06191070616,523295.06191070616,-0.0004038687690989357,-0.0007421927048278315,-0.0004416848614502367,-0.0004416848614502367,-0.0007421927048278315,2264.0576738731334,1347.3589722657982,0.9956734587450408,0.9974252404229725
1989,2.0,net_wealth,shifted_full_sample,14328,81436973.20308776,48999465.57,0.8545397317972052,0.1454602682027947,166417.11275,9914.0147524,156503.0979976,16.78604651155209,469662.7896820093,49469128.35968201,-2.6380764694448754e-07,-2.0370000701611932e-08,-2.283971416313418e-07,-2.283971416313418e-07,-2.6380764694448754e-07,4378338.506591779,3790640.6868123417,0.9114935182452055,0.9233736107244258
1989,2.0,gross_assets,positive_only,13926,77579563.93123773,0.0,0.8828121469345489,0.11718785306545103,229244.29926,61858.840885,167385.458375,3.7059262019826966,556707.3300813065,556707.3300813065,-0.00043189245760733274,-0.0007170149740433217,-0.00046530535316908507,-0.00046530535316908507,-0.0007170149740433217,2149.126360118653,1394.6710127417514,0.996139575960308,0.9974947859721228
1989,2.0,gross_assets,shifted_full_sample,14328,81436973.20308776,11948717.42,0.8545397317972052,0.1454602682027947,224794.52055,16369.652266,208424.868284,13.732394365939061,530280.4889779673,12478997.908977969,-3.2408917008868667e-07,-8.291888161556275e-08,-2.8900847524484064e-07,-2.8900847524484064e-07,-3.2408917008868667e-07,3460106.1410148107,3085570.553703942,0.7227256414134463,0.752738915719824
1992,2.0,net_wealth,positive_only,16348,76733004.20507291,0.0,0.8764902611915855,0.1235097388084144,165757.57576,47448.106061,118309.46969900001,3.493449781681477,451960.3887813502,451960.3887813502,-0.00042723796917377445,-0.003119439685524473,-0.0007597510999798141,-0.0007597510999798141,-0.003119439685524473,1316.2205359446918,320.57039109953797,0.9970877524477451,0.9992907113121928
1992,2.0,net_wealth,shifted_full_sample,17528,84365416.11453772,674012.7424,0.8559801056070001,0.14401989439299998,144416.28788,20512.5,123903.78787999999,7.040404040463132,409902.78086444945,1083915.5232644493,-0.00013516727335481432,-1.3500819821576249e-06,-0.00011589493558535643,-0.00011589493558535643,-0.00013516727335481432,8628.50473102426,7398.240529532606,0.9920395044209371,0.9931745229487523
1992,2.0,gross_assets,positive_only,17148,81757701.74594222,0.0,0.8731151638718025,0.12688483612819743,217660.41667,62987.878788,154672.537882,3.455592105309428,491818.88052728976,491818.88052728976,-0.0003763424573304004,-0.0028596697091958175,-0.0006914390287360308,-0.0006914390287360308,-0.0028596697091958175,1446.2591182161457,349.69073413769,0.9970593664141857,0.9992889847299827
1992,2.0,gross_assets,shifted_full_sample,17528,84365416.11453772,7252.893939,0.8559801056070001,0.14401989439299998,214863.25758,36466.666667,178396.590913,5.892045454607934,476616.7725017268,483869.66644072684,-3.433546179671248e-05,-5.1735307875605176e-05,-3.684138579144906e-05,-3.684138579144906e-05,-5.1735307875605176e-05,27143.38721297779,19329.159157696467,0.943903515563105,0.9600529636422988
1995,2.0,net_wealth,positive_only,18382,81419989.30877924,0.0,0.878962258421659,0.12103774157834113,169291.7824,49546.926139,119744.856261,3.41679687504862,475462.80017248646,475462.80017248646,-0.00026821425040084943,-0.002188849616201929,-0.0005006836174729031,-0.0005006836174729031,-0.002188849616201929,1997.2692636665304,456.8609888034202,0.9957993153976673,0.9990391235894003
1995,2.0,net_wealth,shifted_full_sample,19708,89489095.7545425,27961460.39,0.8584384760975744,0.14156152390242557,148640.77842,21134.860681,127505.917739,7.032967033164613,431422.4557773934,28392882.84577739,-3.0741301442945423e-07,-3.56588295071905e-08,-2.68943077884997e-07,-2.68943077884997e-07,-3.0741301442945423e-07,3718258.9262535735,3252952.7152777133,0.8690425714623566,0.885430699906491
1995,2.0,gross_assets,positive_only,19288,86727698.31465156,0.0,0.8734487387859923,0.12655126121400764,230509.33215,58120.866873,172388.465277,3.966033965971057,518416.64337825694,518416.64337825694,-0.000708330883238136,-0.0020084830251678163,-0.0008728667765694304,-0.0008728667765694304,-0.0020084830251678163,1145.6502032649619,497.8882009303744,0.9977900975636135,0.9990395983476034
1995,2.0,gross_assets,shifted_full_sample,19708,89489095.7545425,27792091.19,0.8584384760975744,0.14156152390242557,225864.30783,37024.714728,188839.593102,6.100365917449993,502367.78625104344,28294458.97625104,-3.1367546721283604e-07,-3.583065194871298e-08,-2.7434333175565886e-07,-2.7434333175565886e-07,-3.1367546721283604e-07,3645067.636966077,3188008.322376952,0.8711737997879526,0.8873274684257859
1998,2.0,net_wealth,positive_only,17903,82309385.72644447,0.0,0.8834180038112869,0.11658199618871333,200931.33333,52329.666667,148601.666663,3.8397212542672436,610435.1815747895,610435.1815747895,-0.00015890279360289896,-0.0010500203919126016,-0.0002627910620527361,-0.0002627910620527361,-0.0010500203919126016,3805.3044581832964,952.3624566743033,0.9937662432096943,0.9984398630920691
1998,2.0,net_wealth,shifted_full_sample,19358,90698866.23155367,27645745.67,0.8689320297579674,0.13106797024203273,175003.53333,28261.666667,146741.866663,6.192258064325149,552117.3561483882,28197863.02614839,-7.332165588050382e-08,-3.602703808376542e-08,-6.843352602493292e-08,-6.843352602493292e-08,-7.332165588050382e-08,14612720.666120026,13638535.409371454,0.48177914572571034,0.5163273402412022
1998,2.0,gross_assets,positive_only,18971,88602289.38903348,0.0,0.8797247947975194,0.12027520520248074,266170.2,63871.366667,202298.83333300002,4.1672851841061425,655145.8902637567,655145.8902637567,-0.0001687801987968876,-0.001365382985441326,-0.0003127018445064077,-0.0003127018445064077,-0.001365382985441326,3197.934446400455,732.3952405022645,0.9951187445515182,0.9988820883235527
1998,2.0,gross_assets,shifted_full_sample,19358,90698866.23155367,27281079.0,0.8689320297579674,0.13106797024203273,261010.16667,45583.333333,215426.833337,5.726000000114998,640000.3569807655,27921079.356980763,-7.367455226285398e-08,-3.6449973638776616e-08,-6.87956022994812e-08,-6.87956022994812e-08,-7.367455226285398e-08,14535812.851042386,13573207.699074008,0.4793964565195731,0.5138723856074545
2001,2.0,net_wealth,positive_only,18668,86109882.12813681,0.0,0.8743434788388418,0.12565652116115822,240479.11247,64518.377965,175960.734505,3.7272963154847965,783138.5139874321,783138.5139874321,-0.0002743018582471724,-0.002116249557539218,-0.00050575459830101,-0.00050575459830101,-0.002116249557539218,1977.2435156483339,472.5340621749749,0.9974752314177718,0.9993966149618041
2001,2.0,net_wealth,shifted_full_sample,19981,93694943.22893406,5401029.615,0.8568759947049438,0.14312400529505634,205742.31064,32309.410865,173432.899775,6.3678756477381535,718577.5923634429,6119607.207363444,-4.0058333342114306e-07,-1.81533742997933e-07,-3.692320786815317e-07,-3.692320786815317e-07,-4.0058333342114306e-07,2708323.7284551193,2496359.4752172963,0.5574350384455531,0.5920719434061812
2001,2.0,gross_assets,positive_only,19594,91577203.5179366,0.0,0.8679446410583957,0.13205535894160428,312045.29457,97547.635807,214497.65876300004,3.198901664694243,831762.3474356009,831762.3474356009,-0.00029611260065483524,-0.00202836708042542,-0.0005248660877591419,-0.0005248660877591419,-0.00202836708042542,1905.2478781195223,493.0074095810433,0.9977093843163332,0.9994072737109332
2001,2.0,gross_assets,shifted_full_sample,19981,93694943.22893406,26618.59755,0.8568759947049438,0.14312400529505634,307140.29074,73156.541699,233983.74904100003,4.198398169280854,812962.3500668721,839580.9476168721,-8.181878810104246e-06,-1.5953985327357813e-05,-9.294253824433388e-06,-9.294253824433388e-06,-1.5953985327357813e-05,107593.360251377,62680.2632371239,0.871848735304466,0.9253433949221452
2004,2.0,net_wealth,positive_only,18281,87572900.00819032,0.0,0.8628605992755594,0.13713940072444053,247035.8061,59867.136804,187168.66929599998,4.1264008818189275,849073.8605490453,849073.8605490453,-0.00037753149426784704,-0.004524115202806767,-0.0009461914991106025,-0.0009461914991106025,-0.004524115202806767,1056.8685101694277,221.03769580836465,0.9987552690534061,0.9997396720049002
2004,2.0,net_wealth,shifted_full_sample,19664,95596947.9197715,388231.5494,0.8468757490550451,0.15312425094495485,221502.59246,32054.003591,189448.58886900003,6.9102941175870045,776119.9776146287,1164351.5270146288,-1.5947453655817305e-06,-0.0007970079945978895,-0.00012339180334597154,-0.00012339180334597154,-0.0007970079945978895,8104.266028077688,1254.6925586418051,0.9930396741533403,0.9989224108617276
2004,2.0,gross_assets,positive_only,19366,93958279.28727551,0.0,0.8556447171396494,0.14435528286035057,353693.93178,86498.671454,267195.260326,4.089009990958005,918508.375279043,918508.375279043,-0.0005689178540789828,-0.006384257297976536,-0.001408392824431768,-0.001408392824431768,-0.006384257297976536,710.0291784030221,156.63529104895974,0.9992269758256833,0.9998294677596148
2004,2.0,gross_assets,shifted_full_sample,19664,95596947.9197715,1.0,0.8468757490550451,0.15312425094495485,347770.22621,68507.576302,279262.649908,5.076376146733529,902763.8259392692,902764.8259392692,-0.007338872742383394,-0.07736867546827524,-0.01806213382860854,-0.01806213382860854,-0.07736867546827524,55.3644441730414,12.92512756548413,0.9999386723512235,0.9999856827302149
2007,2.0,net_wealth,positive_only,17651,87082333.25690164,0.0,0.8756003567406744,0.12439964325932562,287346.36233,70433.852191,216912.51013899996,4.0796627387464826,966103.2822835253,966103.2822835253,-0.000407615845088297,-0.0058368781652121515,-0.001083014140873003,-0.001083014140873003,-0.0058368781652121515,923.3489778756847,171.3244600444137,0.9990442543827268,0.9998226644467665
2007,2.0,net_wealth,shifted_full_sample,18916,95686644.00243284,341867.0562,0.8576789472023888,0.14232105279761123,245445.23218,30051.013734,215394.21844599998,8.167619047816046,877424.3632119258,1219291.4194119258,-8.348984944331652e-05,-2.3513974355766822e-06,-7.194213953120653e-05,-7.194213953120653e-05,-8.348984944331652e-05,13900.0592214279,11977.503932126821,0.9885998876067446,0.9901766683981884
2007,2.0,gross_assets,positive_only,18630,93741121.40964253,0.0,0.8659380340028024,0.1340619659971976,389233.60889,101529.4964,287704.11248999997,3.8336997886458537,1037668.7167908385,1037668.7167908385,-0.0007473370191117324,-0.008548604416315378,-0.0017931902636506938,-0.0017931902636506938,-0.008548604416315378,557.6653076200262,116.97815822328346,0.9994625786644655,0.999887268300248
2007,2.0,gross_assets,shifted_full_sample,18916,95686644.00243284,1.0,0.8576789472023888,0.14232105279761123,384223.6756,74054.283846,310169.391754,5.188405797009859,1016570.6006075918,1016571.6006075918,-0.011413201036138732,-0.08200137628336915,-0.021459384452386848,-0.021459384452386848,-0.08200137628336915,46.59965910106865,12.194917272416705,0.9999541599833468,0.9999880038776756
2010,2.0,net_wealth,positive_only,23611,83034248.02992012,0.0,0.8566793402947632,0.14332065970523686,226311.86017,56816.978777,169494.88139300002,3.9831730768059246,876829.0964404667,876829.0964404667,-0.0008103076174987043,-0.004713322974893599,-0.0013696903533602115,-0.0013696903533602115,-0.004713322974893599,730.0920222930215,212.16453982183864,0.9991673496862081,0.999758032049024
2010,2.0,net_wealth,shifted_full_sample,26495,94600887.61472857,9468222.723,0.8383648678856351,0.16163513211436473,177211.61049,21716.104869,155495.505621,8.160377358601345,764934.0665097984,10233156.789509797,-4.202162424657294e-07,-1.0431502843413803e-07,-3.6915550800064487e-07,-3.6915550800064487e-07,-4.202162424657294e-07,2708885.492230697,2379727.1474615945,0.7352834958018403,0.7674493612859428
2010,2.0,gross_assets,positive_only,25961,92629394.78380439,0.0,0.8480953601647562,0.15190463983524388,324648.93883,84815.730337,239833.208493,3.8276972625250765,921849.2605851629,921849.2605851629,-0.0010716463087214823,-0.006678165630202263,-0.0019233026069803564,-0.0019233026069803564,-0.006678165630202263,519.9389822332901,149.74171881533772,0.9994359826443824,0.9998375637696771
2010,2.0,gross_assets,shifted_full_sample,26495,94600887.61472857,8088772.036,0.8383648678856351,0.16163513211436473,319458.92634,56953.558052,262505.368288,5.609112709838534,902627.1028706445,8991399.138870645,-4.346492623770805e-07,-1.2087423519747028e-07,-3.839321944047157e-07,-3.839321944047157e-07,-4.346492623770805e-07,2604626.5840000557,2300705.618435972,0.7103202133759121,0.744121511802339
