Epsilon run: 0
Utility normalization uses alpha = 0 and beta = 1.
The ambiguity benchmark uses C = Delta(S).
W_A_pi is the singleton-prior diagnostic and should match W_O.
Rows in the audit CSV are indexed by year x wealth_measure x treatment.

net_wealth
year | I_O positive | I_A positive | I_O shifted | I_A shifted
1989 | 0.0000 | 0.7324 | 0.0000 | 0.0076
1992 | 0.0000 | 0.7148 | -0.0000 | 0.2861
1995 | 0.0000 | 0.7669 | -0.0000 | 0.0122
1998 | 0.0000 | 0.7601 | 0.0000 | 0.0154
2001 | -0.0000 | 0.8077 | 0.0000 | 0.0978
2004 | 0.0000 | 0.7414 | 0.0000 | 0.5150
2007 | -0.0000 | 0.7465 | 0.0000 | 0.5618
2010 | -0.0000 | 0.7925 | 0.0000 | 0.0615
2013 | 0.0000 | 0.7945 | 0.0000 | 0.0022
2016 | 0.0000 | 0.7996 | 0.0000 | 0.2248
2019 | 0.0000 | 0.8012 | -0.0000 | 0.4712
2022 | 0.0000 | 0.7957 | -0.0000 | 0.5924

gross_assets
year | I_O positive | I_A positive | I_O shifted | I_A shifted
1989 | 0.0000 | 0.7159 | 0.0000 | 0.0328
1992 | 0.0000 | 0.6910 | -0.0000 | 0.7168
1995 | 0.0000 | 0.7313 | -0.0000 | 0.0135
1998 | 0.0000 | 0.7261 | -0.0000 | 0.0172
2001 | 0.0000 | 0.7702 | 0.0000 | 0.7630
2004 | 0.0000 | 0.7123 | 0.0000 | 0.7288
2007 | 0.0000 | 0.6983 | 0.0000 | 0.7158
2010 | 0.0000 | 0.7556 | 0.0000 | 0.0773
2013 | 0.0000 | 0.7707 | 0.0000 | 0.1921
2016 | 0.0000 | 0.7794 | 0.0000 | 0.7805
2019 | 0.0000 | 0.7803 | 0.0000 | 0.7818
2022 | 0.0000 | 0.7754 | 0.0000 | 0.7770
