year,epsilon,wealth_measure,treatment,n_obs,total_weight,shift_constant,pi_white,pi_black,median_white_raw,median_black_raw,gap_diff_raw,gap_ratio_raw,mu_raw,mu,eu_white,eu_black,W_O,W_A_pi,W_A_delta,wede_O,wede_A,wede_A_pi,I_O,I_A_singleton,I_A
1989,0.25,net_wealth,positive_only,13391,73220354.8282815,0.0,0.8882251937929542,0.1117748062070411,189472.96101,53282.065332,136190.895678,3.5560363478666965,523295.06191070215,523295.06191070215,21490.675447255675,7648.888030468954,19943.51234118518,19943.51234118518,7648.888030468954,368539.36187666707,102694.24093334272,368539.36187666707,0.295733155724759,0.295733155724759,0.8037546149234119
1989,0.25,net_wealth,shifted_full_sample,14328,81436973.20308797,48999465.57,0.8545397317972053,0.1454602682027945,166417.11275,9914.0147524,156503.0979976,16.78604651155209,469662.78968200687,49469128.359682046,787113.015756229,782013.8911811111,786371.2957279328,786371.2957279328,782013.8911811111,49459746.68627109,49094665.8041055,49459746.68627109,0.00018964703284740647,0.00018964703284740647,0.007569621054446141
1989,0.25,gross_assets,positive_only,13926,77579563.93123809,0.0,0.8828121469345463,0.11718785306545051,229244.29926,61858.840885,167385.458375,3.7059262019826966,556707.3300813051,556707.3300813051,23084.281115706952,8527.688048247122,21378.42522618384,21378.42522618384,8527.688048247122,404311.38055483234,118719.87332986831,404311.38055483234,0.2737451822382434,0.2737451822382434,0.7867463442370524
1989,0.25,gross_assets,shifted_full_sample,14328,81436973.20308797,11948717.42,0.8545397317972053,0.1454602682027945,224794.52055,16369.652266,208424.868284,13.732394365939061,530280.4889779671,12478997.908977939,280649.67578605516,273008.8034115634,279538.2324411582,279538.2324411582,273008.8034115634,12454796.54442441,12068423.814336035,12454796.54442441,0.0019393676263153026,0.0019393676263153026,0.03290120710305744
1992,0.25,net_wealth,positive_only,16348,76733004.20507321,0.0,0.8764902611915832,0.12350973880841397,165757.57576,47448.106061,118309.46969900001,3.493449781681477,451960.3887813474,451960.3887813474,19335.999867399678,7367.363021964889,17857.756656727215,17857.756656727215,7367.363021964889,318066.2232465511,97685.72658603895,318066.2232465511,0.29625199211777065,0.29625199211777065,0.7838621945400219
1992,0.25,net_wealth,shifted_full_sample,17528,84365416.11453839,674012.7424,0.8559801056069983,0.14401989439299873,144416.28788,20512.5,123903.78787999999,7.040404040463132,409902.7808644449,1083915.5232644363,43924.70977596369,34549.8370621193,42574.541597767886,42574.541597767886,34549.8370621193,1013012.9376642898,766789.8508203092,1013012.9376642898,0.06541338700142296,0.06541338700142296,0.292574158813629
1992,0.25,gross_assets,positive_only,17148,81757701.74594289,0.0,0.8731151638717991,0.1268848361281964,217660.41667,62987.878788,154672.537882,3.455592105309428,491818.88052728586,491818.88052728586,21162.470188019208,8391.195156581702,19541.98904850704,19541.98904850704,8391.195156581702,358679.6235511287,116193.03974222553,358679.6235511287,0.2707079013180964,0.2707079013180964,0.76374831397759
1992,0.25,gross_assets,shifted_full_sample,17528,84365416.11453839,7252.893939,0.8559801056069983,0.14401989439299873,214863.25758,36466.666667,178396.590913,5.892045454607934,476616.7725017232,483869.6664407257,21313.735167985364,7768.809612415831,19362.996419911145,19362.996419911145,7768.809612415831,354305.94379522256,104846.59297421857,354305.94379522256,0.26776574691807997,0.26776574691807997,0.7833164584474684
1995,0.25,net_wealth,positive_only,18382,81419989.3087794,0.0,0.8789622584216533,0.12103774157834096,169291.7824,49546.926139,119744.856261,3.41679687504862,475462.8001724865,475462.8001724865,19792.251739603103,6623.8731309495915,18198.380932563035,18198.380932563035,6623.8731309495915,326181.0200745236,84767.82215010645,326181.0200745236,0.3139715242576435,0.3139715242576435,0.821715132878209
1995,0.25,net_wealth,shifted_full_sample,19708,89489095.75454304,27961460.39,0.8584384760975684,0.1415615239024245,148640.77842,21134.860681,127505.917739,7.032967033164613,431422.45577739173,28392882.84577729,519160.5878368462,513858.9974883313,518410.08662800037,518410.08662800037,513858.9974883313,28377857.81984201,28046174.91213964,28377857.81984201,0.0005291828243328967,0.0005291828243328967,0.012211085979570324
