Epsilon run: 1
Utility normalization uses alpha = 0 and beta = 1.
The ambiguity benchmark uses C = Delta(S).
W_A_pi is the singleton-prior diagnostic and should match W_O.
Rows in the audit CSV are indexed by year x wealth_measure x treatment.

net_wealth
year | I_O positive | I_A positive | I_O shifted | I_A shifted
1989 | 0.7817 | 0.9413 | 0.0006 | 0.0076
1992 | 0.7695 | 0.9357 | 0.1610 | 0.3059
1995 | 0.7678 | 0.9406 | 0.0017 | 0.0123
1998 | 0.7879 | 0.9391 | 0.0024 | 0.0156
2001 | 0.7999 | 0.9510 | 0.0327 | 0.0989
2004 | 0.8102 | 0.9495 | 0.3898 | 0.5852
2007 | 0.8127 | 0.9490 | 0.4442 | 0.6228
2010 | 0.8323 | 0.9560 | 0.0184 | 0.0626
2013 | 0.8409 | 0.9604 | 0.0001 | 0.0022
2016 | 0.8651 | 0.9732 | 0.1279 | 0.2392
2019 | 0.8527 | 0.9689 | 0.3409 | 0.5064
2022 | 0.8446 | 0.9628 | 0.4590 | 0.6423

gross_assets
year | I_O positive | I_A positive | I_O shifted | I_A shifted
1989 | 0.7564 | 0.9367 | 0.0057 | 0.0332
1992 | 0.7419 | 0.9320 | 0.7006 | 0.9083
1995 | 0.7372 | 0.9336 | 0.0017 | 0.0136
1998 | 0.7606 | 0.9317 | 0.0026 | 0.0173
2001 | 0.7677 | 0.9393 | 0.6796 | 0.8785
2004 | 0.7788 | 0.9456 | 0.8173 | 0.9749
2007 | 0.7891 | 0.9458 | 0.8321 | 0.9761
2010 | 0.7996 | 0.9481 | 0.0238 | 0.0789
2013 | 0.8114 | 0.9541 | 0.0894 | 0.2007
2016 | 0.8489 | 0.9659 | 0.8551 | 0.9687
2019 | 0.8373 | 0.9657 | 0.8439 | 0.9691
2022 | 0.8326 | 0.9648 | 0.8356 | 0.9678
