year,epsilon,wealth_measure,treatment,n_obs,total_weight,shift_constant,pi_white,pi_black,median_white_raw,median_black_raw,gap_diff_raw,gap_ratio_raw,mu_raw,mu,eu_white,eu_black,W_O,W_A_pi,W_A_delta,wede_O,wede_A,wede_A_pi,I_O,I_A_singleton,I_A
1989,0,net_wealth,positive_only,13391,73220354.8282815,0.0,0.8882251937929542,0.1117748062070411,189472.96101,53282.065332,136190.895678,3.5560363478666965,523295.06191070215,523295.06191070215,571522.9486721475,140049.2704972156,523295.0619107025,523295.0619107025,140049.2704972156,523295.0619107025,140049.2704972156,523295.0619107025,-6.661338147750939e-16,-6.661338147750939e-16,0.7323703572018145
1989,0,net_wealth,shifted_full_sample,14328,81436973.20308797,48999465.57,0.8545397317972053,0.1454602682027945,166417.11275,9914.0147524,156503.0979976,16.78604651155209,469662.78968200687,49469128.359682046,49532789.099289864,49095138.7333557,49469128.35968202,49469128.35968202,49095138.7333557,49469128.35968202,49095138.7333557,49469128.35968202,4.440892098500626e-16,4.440892098500626e-16,0.007560060965843718
1989,0,gross_assets,positive_only,13926,77579563.93123809,0.0,0.8828121469345463,0.11718785306545051,229244.29926,61858.840885,167385.458375,3.7059262019826966,556707.3300813051,556707.3300813051,609611.7119353736,158162.3469186803,556707.3300813044,556707.3300813044,158162.3469186803,556707.3300813044,158162.3469186803,556707.3300813044,1.2212453270876722e-15,1.2212453270876722e-15,0.7158967766859092
1989,0,gross_assets,shifted_full_sample,14328,81436973.20308797,11948717.42,0.8545397317972053,0.1454602682027945,224794.52055,16369.652266,208424.868284,13.732394365939061,530280.4889779671,12478997.908977939,12548600.25030096,12070102.979651254,12478997.908977948,12478997.908977948,12070102.979651254,12478997.908977948,12070102.979651254,12478997.908977948,-6.661338147750939e-16,-6.661338147750939e-16,0.03276664779569427
1992,0,net_wealth,positive_only,16348,76733004.20507321,0.0,0.8764902611915832,0.12350973880841397,165757.57576,47448.106061,118309.46969900001,3.493449781681477,451960.3887813474,451960.3887813474,497486.2723128728,128884.70315124151,451960.38878134685,451960.38878134685,128884.70315124151,451960.38878134685,128884.70315124151,451960.38878134685,1.3322676295501878e-15,1.3322676295501878e-15,0.7148318606000796
1992,0,net_wealth,shifted_full_sample,17528,84365416.11453839,674012.7424,0.8559801056069983,0.14401989439299873,144416.28788,20512.5,123903.78787999999,7.040404040463132,409902.7808644449,1083915.5232644363,1136090.6466177958,773813.4516979251,1083915.523264441,1083915.523264441,773813.4516979251,1083915.523264441,773813.4516979251,1083915.523264441,-4.218847493575595e-15,-4.218847493575595e-15,0.28609431723292833
1992,0,gross_assets,positive_only,17148,81757701.74594289,0.0,0.8731151638717991,0.1268848361281964,217660.41667,62987.878788,154672.537882,3.455592105309428,491818.88052728586,491818.88052728586,541205.3000529405,151982.90727027858,491818.8805272855,491818.8805272855,151982.90727027858,491818.8805272855,151982.90727027858,491818.8805272855,6.661338147750939e-16,6.661338147750939e-16,0.6909778918870793
1992,0,gross_assets,shifted_full_sample,17528,84365416.11453839,7252.893939,0.8559801056069983,0.14401989439299873,214863.25758,36466.666667,178396.590913,5.892045454607934,476616.7725017232,483869.6664407257,542228.551697336,137014.49774615024,483869.66644072573,483869.66644072573,137014.49774615024,483869.66644072573,137014.49774615024,483869.66644072573,-2.220446049250313e-16,-2.220446049250313e-16,0.716835943129048
1995,0,net_wealth,positive_only,18382,81419989.3087794,0.0,0.8789622584216533,0.12103774157834096,169291.7824,49546.926139,119744.856261,3.41679687504862,475462.8001724865,475462.8001724865,525677.2226976062,110811.39762255708,475462.8001724842,475462.8001724842,110811.39762255708,475462.8001724842,110811.39762255708,475462.8001724842,4.884981308350689e-15,4.884981308350689e-15,0.7669399213096012
1995,0,net_wealth,shifted_full_sample,19708,89489095.75454304,27961460.39,0.8584384760975684,0.1415615239024245,148640.77842,21134.860681,127505.917739,7.032967033164613,431422.45577739173,28392882.84577729,28449982.84459509,28046624.663335077,28392882.84577721,28392882.84577721,28046624.663335077,28392882.84577721,28046624.663335077,28392882.84577721,2.886579864025407e-15,2.886579864025407e-15,0.012195245700234003
