year,epsilon,wealth_measure,treatment,n_obs,total_weight,shift_constant,pi_white,pi_black,median_white_raw,median_black_raw,gap_diff_raw,gap_ratio_raw,mu_raw,mu,eu_white,eu_black,W_O,W_A_pi,W_A_delta,wede_O,wede_A,wede_A_pi,I_O,I_A_singleton,I_A
1989,1,net_wealth,positive_only,13391,73220354.8282815,0.0,0.8882251937929542,0.1117748062070411,189472.96101,53282.065332,136190.895678,3.5560363478666965,523295.06191070215,523295.06191070215,11.8112675437121,10.33173459301586,11.64589303487104,11.64589303487104,10.33173459301586,114221.29556508029,30691.302677035892,114221.29556508029,0.7817267849843161,0.7817267849843161,0.9413499096189193
1989,1,net_wealth,shifted_full_sample,14328,81436973.20308797,48999465.57,0.8545397317972053,0.1454602682027945,166417.11275,9914.0147524,156503.0979976,16.78604651155209,469662.78968200687,49469128.359682046,17.71743162973141,17.709234165022036,17.7162392243162,17.7162392243162,17.709234165022036,49438460.126312375,49093350.94807598,49438460.126312375,0.0006199469120758971,0.0006199469120758971,0.007596200379231477
1989,1,gross_assets,positive_only,13926,77579563.93123809,0.0,0.8828121469345463,0.11718785306545051,229244.29926,61858.840885,167385.458375,3.7059262019826966,556707.3300813051,556707.3300813051,11.996527838082237,10.470198023831516,11.817660524080368,11.817660524080368,10.470198023831516,135626.56251797642,35249.196858735915,135626.56251797642,0.7563772646963914,0.7563772646963914,0.9366827146795644
1989,1,gross_assets,shifted_full_sample,14328,81436973.20308797,11948717.42,0.8545397317972053,0.1454602682027945,224794.52055,16369.652266,208424.868284,13.732394365939061,530280.4889779671,12478997.908977939,16.338571178257414,16.305755751582492,16.33379783749209,16.33379783749209,16.305755751582492,12407328.170322308,12064233.830968067,12407328.170322308,0.005743228677365875,0.005743228677365875,0.03323696991017777
1992,1,net_wealth,positive_only,16348,76733004.20507321,0.0,0.8764902611915832,0.12350973880841397,165757.57576,47448.106061,118309.46969900001,3.493449781681477,451960.3887813474,451960.3887813474,11.73376029983556,10.276666555742773,11.553795032083253,11.553795032083253,10.276666555742773,104171.62226295445,29046.885817025268,104171.62226295445,0.7695116102014168,0.7695116102014168,0.9357313460691845
1992,1,net_wealth,shifted_full_sample,17528,84365416.11453839,674012.7424,0.8559801056069983,0.14401989439299873,144416.28788,20512.5,123903.78787999999,7.040404040463132,409902.7808644449,1083915.5232644363,13.752412535216195,13.530971884548045,13.720520676092612,13.720520676092612,13.530971884548045,909382.1356668385,752361.2585212518,909382.1356668385,0.1610212086196111,0.1610212086196111,0.3058857056910118
1992,1,gross_assets,positive_only,17148,81757701.74594289,0.0,0.8731151638717991,0.1268848361281964,217660.41667,62987.878788,154672.537882,3.455592105309428,491818.88052728586,491818.88052728586,11.945085575165047,10.417681530713727,11.751281163283243,11.751281163283243,10.417681530713727,126916.0550813384,33445.80112307164,126916.0550813384,0.7419455411201987,0.7419455411201987,0.931995695067229
1992,1,gross_assets,shifted_full_sample,17528,84365416.11453839,7252.893939,0.8559801056069983,0.14401989439299873,214863.25758,36466.666667,178396.590913,5.892045454607934,476616.7725017232,483869.6664407257,12.08261502705511,10.6999846133193,11.883488740884294,11.883488740884294,10.6999846133193,144855.03184132942,44355.172646168394,144855.03184132942,0.7006321290878559,0.7006321290878559,0.9083323966711149
1995,1,net_wealth,positive_only,18382,81419989.3087794,0.0,0.8789622584216533,0.12103774157834096,169291.7824,49546.926139,119744.856261,3.41679687504862,475462.8001724865,475462.8001724865,11.799580278949358,10.247864245373705,11.611764074674394,11.611764074674394,10.247864245373705,110388.81283501138,28222.201809357353,110388.81283501138,0.7678287075351322,0.7678287075351322,0.940642671100412
1995,1,net_wealth,shifted_full_sample,19708,89489095.75454304,27961460.39,0.8584384760975684,0.1415615239024245,148640.77842,21134.860681,127505.917739,7.032967033164613,431422.45577739173,28392882.84577729,17.16175378456288,17.14931902425449,17.15999350094414,17.15999350094414,17.14931902425449,28345915.422327794,28044946.807937883,28345915.422327794,0.0016541970642647286,0.0016541970642647286,0.012254339924878566
1995,1,gross_assets,positive_only,19288,86727698.3146521,0.0,0.8734487387859842,0.12655126121400675,230509.33215,58120.866873,172388.465277,3.966033965971057,518416.6433782548,518416.6433782548,12.021570034211065,10.446425222522159,11.822233471697025,11.822233471697025,10.446425222522159,136248.1959490652,34421.10671567502,136248.1959490652,0.7371839857200461,0.7371839857200461,0.9336033918753642
1995,1,gross_assets,shifted_full_sample,19708,89489095.75454304,27792091.19,0.8584384760975684,0.1415615239024245,225864.30783,37024.714728,188839.593102,6.100365917449993,502367.78625104146,28294458.976250973,17.158404187720336,17.144522999035953,17.156439145496478,17.156439145496478,17.144522999035953,28245342.804724623,27910764.56371143,28245342.804724623,0.0017358936450269091,0.0017358936450269091,0.013560761591575154
1998,1,net_wealth,positive_only,17903,82309385.7264443,0.0,0.8834180038112839,0.11658199618871347,200931.33333,52329.666667,148601.666663,3.8397212542672436,610435.1815747888,610435.1815747888,11.935886352046813,10.523325902277687,11.77120723507547,11.77120723507547,10.523325902277687,129470.35759958287,37172.5513986858,129470.35759958287,0.7879048234645032,0.7879048234645032,0.9391048345169282
1998,1,net_wealth,shifted_full_sample,19358,90698866.23155351,27645745.67,0.8689320297579661,0.13106797024203282,175003.53333,28261.666667,146741.866663,6.192258064325149,552117.3561483872,28197863.02614872,17.1543597466266,17.139084324298725,17.152357628027477,17.152357628027477,17.139084324298725,28130293.89143847,27759379.035062026,28130293.89143847,0.0023962501927040636,0.0023962501927040636,0.015550256084302383
1998,1,gross_assets,positive_only,18971,88602289.38903336,0.0,0.8797247947975179,0.12027520520248074,266170.2,63871.366667,202298.83333300002,4.1672851841061425,655145.8902637576,655145.8902637576,12.134339688588339,10.708722425034873,11.962873279674229,11.962873279674229,10.708722425034873,156823.03447900084,44744.43798028423,156823.03447900084,0.7606288357912695,0.7606288357912695,0.9317030929366429
1998,1,gross_assets,shifted_full_sample,19358,90698866.23155351,27281079.0,0.8689320297579661,0.13106797024203282,261010.16667,45583.333333,215426.833337,5.726000000114998,640000.3569807669,27921079.356980987,17.144580754307913,17.127436407190636,17.142333679530108,17.142333679530108,17.127436407190636,27849725.82346186,27437915.91150456,27849725.82346186,0.0025555435234736468,0.0025555435234736468,0.017304612020868193
2001,1,net_wealth,positive_only,18668,86109882.1281368,0.0,0.8743434788388412,0.1256565211611583,240479.11247,64518.377965,175960.734505,3.7272963154847965,783138.5139874317,783138.5139874317,12.164183353515892,10.554358738469123,11.961898392709507,11.961898392709507,10.554358738469123,156670.22424537424,38344.20696727008,156670.22424537424,0.7999457037968016,0.7999457037968016,0.9510377713745215
2001,1,net_wealth,shifted_full_sample,19981,93694943.22893415,5401029.615,0.8568759947049432,0.14312400529505628,205742.31064,32309.410865,173432.899775,6.3678756477381535,718577.5923634416,6119607.207363449,15.605662366544273,15.522818024860062,15.59380535254639,15.59380535254639,15.522818024860062,5919753.4115980845,5514094.589589429,5919753.4115980845,0.03265794502707453,0.03265794502707453,0.09894632077781618
2001,1,gross_assets,positive_only,19594,91577203.51793648,0.0,0.8679446410583961,0.13205535894160447,312045.29457,97547.635807,214497.65876300004,3.198901664694243,831762.347435606,831762.347435606,12.375894762151287,10.828869859592995,12.171601833352359,12.171601833352359,10.828869859592995,193223.30762253772,50456.65145421071,193223.30762253772,0.7676940916858503,0.7676940916858503,0.9393376586355792
2001,1,gross_assets,shifted_full_sample,19981,93694943.22893415,26618.59755,0.8568759947049432,0.14312400529505628,307140.29074,73156.541699,233983.74904100003,4.198398169280854,812962.3500668752,839580.9476168682,12.664393098541387,11.532939780463991,12.502454967853764,12.502454967853764,11.532939780463991,268996.85521195526,102021.59448172127,268996.85521195526,0.6796058129052394,0.6796058129052394,0.8784851004881574
